kevin_bacon,max_dist,connected_component_size
Suangporn Jaturaphut,1,8
Dor Yodrak,1,8
Hedy Lamarr,0,1
Rachel Vanduzer,1,7
Sam James White,1,7
Lora Burke,1,7
Steve Kasan,1,7
Jack Foley,1,7
Bill Oberst Jr.,1,7
Elitsa Bako,1,7
Eugene Cernan,0,1
Mariam Precious Sanusi,1,3
Anwulika Alphonsus,1,3
Angela Ekeleme,1,3
Louis-Do de Lencquesaing,1,8
Hélène Fillières,1,8
Ruth Vega Fernandez,1,8
Ola Rapace,1,8
Emilie Gavois-Kahn,1,8
Micha Lescot,1,8
Eva Lallier,1,8
Thierry Hancisse,1,8
Bob Weir,0,1
Jean-Paul Ly,1,7
Celine Tran,1,7
Savin Phillip,1,7
Dara Phang,1,7
Tharoth Sam,1,7
Dara Our,1,7
Sok Visal,1,7
Laerte Coutinho,0,1
Edoardo Ferrario,1,2
Saverio Raimondo,1,2
Sumi Shimamoto,1,9
Goro Naya,1,9
Kiyoshi Kobayashi,1,9
Eiko Masuyama,1,9
Makio Inoue,1,9
Taro Ishida,1,9
Kohei Miyauchi,1,9
Yasuo Yamada,1,9
Ichiro Nagai,1,9
Harold Evans,0,1
Roger Stone,0,1
Antonella Costa,1,5
Geraldine Neary,1,5
Álvaro Espinosa,1,5
Pedro Campos,1,5
Patricio Contreras,1,5
Nabila Bounad,1,8
Dylan Robert,1,8
Lisa Amedjout,1,8
Sofia Bent,1,8
Kader Benchoudar,1,8
Idir Azougli,1,8
Nabila Ait Amer,1,8
Kenza Fortas,1,8
Violetta Schurawlow,1,8
Muhammed Kirtan,1,8
Burak Yiğit,1,8
Ilhan Erdinc,1,8
Giwar Xatar Hajabi,1,8
Michael Hanemann,1,8
Ridvan Kirtan,1,8
Arnel Taci,1,8
Jean-Baptiste Marcenac,0,1
Alexandria Ocasio-Cortez,0,1
Josh O'Connor,1,4
Ian Hart,1,4
Alec Secareanu,1,4
Gemma Jones,1,4
Suchendra Prasad,1,6
Neenasam Ashwath,1,6
Dhanu Gowda,1,6
Subbu Talabi,1,6
H.G. Dattatreya,1,6
Ambujakshi,1,6
Jewel Thais-Williams,0,1
Karim Benzema,0,1
Enshon Lamare,1,8
Richard Kharpuri,1,8
Sweety Pala,1,8
Merlvin Mukhim,1,8
Mary Nonghuloo,1,8
Tashneem Lyngdoh,1,8
Anvil Laloo,1,8
Destina Mawrie,1,8
Vince Carter,0,1
Kelly Paoli,1,7
Molly Reisman,1,7
Dean Tardioli,1,7
Greg Wasylyszn,1,7
Hallie Burt,1,7
Aaron Keogh,1,7
Earl Oliveros,1,7
John Swasey,1,4
Andy McAvin,1,4
James Faulkner,1,4
Luci Christian,1,4
Harry Benson,0,1
Dhruva Padmakumar,1,4
Saeed Akhtar Mirza,1,4
Vasuki,1,4
Gaurav Sharma,1,4
Vanessa Paradis,0,1
Peter Dunning,0,1
Chris Walley,1,9
Shane Casey,1,9
Dominic MacHale,1,9
P.J. Gallagher,1,9
Hilary Rose,1,9
Ciaran Bermingham,1,9
Michael Sands,1,9
Pascal Scott,1,9
Alex Murphy,1,9
Abhishek H.N.,1,5
Pooja,1,5
Thammegowda S.,1,5
Channegowda,1,5
Singri Gowda,1,5
Natalia Dontcheva,1,4
Cécile De France,1,4
Edouard Baer,1,4
Alice Isaaz,1,4
Simone Baker,1,7
David So,1,7
Ben Munoz,1,7
Omono Okojie,1,7
Curtiss Cook Jr.,1,7
Isaiah Jarel,1,7
Sang Chon,1,7
Luke Norris,1,5
Thea Petrie,1,5
Jonathan Hyde,1,5
Eileen Davies,1,5
Antonia Thomas,1,5
Israel Houghton,0,1
Ágústa Eva Erlendsdóttir,1,10
Elma Stefania Agustsdottir,1,10
Sara Dögg Ásgeirsdóttir,1,10
Jóhannes Haukur Jóhannesson,1,10
Þröstur Leó Gunnarsson,1,10
Sveinn Geirsson,1,10
Thor Kristjansson,1,10
Anna Gunndís Guðmundsdóttir,1,10
Arnar Páll Harðarson,1,10
Jóhann Sigurðarson,1,10
Tim Piggott-Smith,0,1
Felipe Neto,1,2
Whindersson Nunes,1,2
Lukas Nelson,1,6
Corey McCormick,1,6
Micah Nelson,1,6
Tato,1,6
Anthony Logerfo,1,6
Neil Young,1,6
Conor McGregor,0,1
Barbara Scolaro,1,4
Daniela Escobar,1,4
Marlon Moreno,1,4
Peter Ketnath,1,4
Giuseppe Fragapane,1,2
Samuele Caruana,1,2
Amol Deshmukh,1,8
Adarsh Kurne,1,8
Neha Awati,1,8
Rinkle Chopde,1,8
Aishwarya Ghaydar,1,8
Vishwas Kamble,1,8
Shreyas Gurav,1,8
Amaraja Patil,1,8
Jimmy Carr,0,1
Angelo Tijssens,1,10
Oliver Bodart,1,10
Alice de Broqueville,1,10
Katelijne Damen,1,10
Victor Polster,1,10
Chris Thys,1,10
Valentijn Dhaenens,1,10
Arieh Worthalter,1,10
Magali Elali,1,10
Tijmen Govaerts,1,10
Chien-Ming Wang,0,1
Katie Strain,1,6
Thaddeus Shafer,1,6
Karissa Strain,1,6
Yves Bright,1,6
Mary O'Neil,1,6
Angie Everhart,1,6
Nagesh Bhonsle,0,1
Nour El-Refai,1,7
Martina Haag,1,7
Sven-Bertil Taube,1,7
Rodolfo Corsato,1,7
Björn Kjellman,1,7
Anita Wall,1,7
Christine Meltzer,1,7
Zoltán Mucsi,1,7
Adám Fekete,1,7
Szabolcs Thuróczy,1,7
Dusan Vitanovic,1,7
Mónika Balsai,1,7
Zoltán Fenyvesi,1,7
Lidia Danis,1,7
Madison Lu,1,8
Olivia Deeble,1,8
Joshua Sitch,1,8
Flynn Curry,1,8
Wayne Hope,1,8
Oisín O'Leary,1,8
Faith Seci,1,8
Heidi Arena,1,8
Piotr Adamczyk,1,18
Dan Renton Skinner,1,2
Simone Kirby,1,2
Kumarakom Vasudevan,1,5
Thomas J. Kannampuzha,1,5
Shine Tom Chacko,1,5
Sabitha Jayaraj,1,5
Ashanth K. Shah,1,5
Kygo,0,1
Ross Noble,1,8
Leah McNamara,1,8
Muireann D'Arcy,1,8
Shauna Macdonald,1,8
Steve Wall,1,8
Charlotte Bradley,1,8
Richard Foster-King,1,8
Robert O'Mahoney,1,8
Tuğba Sarıünal,1,6
Mehmet Selim Akgül,1,6
Şafak Pekdemir,1,6
Sinan Çalışkanoğlu,1,6
Ahmet Uz,1,6
Halil Sezai Paracıkoğlu,1,6
Christa Théret,1,7
Deborah Grall,1,7
Vincent Martinez,1,7
Patrick Descamps,1,7
