kevin_bacon,max_dist,connected_component_size
Dylan Haegens,1,2
Toby Trackman,1,2
Jennifer Beamish,1,2
Nick Davis,0,1
Laura VanZee Taylor,0,1
Victoria Bromley,0,1
Kaspar Astrup Schröder,0,1
Esteban Sapir,0,1
Gayane Petrosyan,0,1
Shivendra Singh Dungarpur,0,1
Daniel Gordon,0,1
Zatella Beatty,0,1
